Payee Name,Agency,Zip Code,Amount,Payment Description
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,83.85,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,226.1,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,445.88,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,80.55,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,114.14,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,198.65,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,83.85,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,169.6,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,439.03,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,73.7,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,114.14,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,195.35,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,ENVIRONMENT,20785,251.86,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,ENVIRONMENT,20785,203.59,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,83.85,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,185.05,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,439.03,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,80.55,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,143.29,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,195.35,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,11.22,Bank A A/C02 Notified goodwill - Counterparty-
UNIFIRST,CENTRAL SERVICES,20785,126.93,Bank A A/C02 Notified goodwill - Counterparty-
